Handle,Title,Vendor,SKU,Retail Price,Cost Per Item
bamboo-blend-kangaroo-romper-chill-quill,Bamboo Blend Kangaroo Romper,Apple Park & Organic Farm Buddies,TP1771,46.0,29.9
bamboo-blend-layette-pant-blooming-saguaro,Bamboo Blend Layette Pant,Apple Park & Organic Farm Buddies,TP2211,24.0,15.6
bamboo-blend-layette-pant-wild-at-heart,Bamboo Blend Layette Pant,Apple Park & Organic Farm Buddies,TP1891,24.0,15.6
bamboo-blend-layette-pant-woodland-dreams,Bamboo Blend Layette Pant,Apple Park & Organic Farm Buddies,TP1885,24.0,15.6
bamboo-blend-layette-set-wild-at-heart,Bamboo Blend Layette Set,Apple Park & Organic Farm Buddies,TP1075 & TP1888 & TP1891,74.0,48.1
bamboo-blend-layette-set-blooming-saguaro,Bamboo Blend Layette Set,Apple Park & Organic Farm Buddies,TP1113 & TP2220 & TP2223,74.0,48.1
bamboo-blend-layette-set-woodland-dreams,Bamboo Blend Layette Set,Apple Park & Organic Farm Buddies,TP1132 & TP1882 & TP1885,74.0,48.1
bamboo-blend-leggings-woodland-dreams,Bamboo Blend Leggings - Woodland Dreams,Apple Park & Organic Farm Buddies,TP1845,22.0,14.3
bamboo-blend-long-sleeve-gathered-romper-woodland-dreams,Bamboo Blend Long Sleeve Gathered Romper,Apple Park & Organic Farm Buddies,TP1870,45.0,29.25
bamboo-blend-long-sleeve-gathered-romper-wild-at-heart,Bamboo Blend Long Sleeve Gathered Romper,Apple Park & Organic Farm Buddies,TP1915,45.0,29.25
bamboo-blend-long-sleeve-ruffle-dress-chill-quill,Bamboo Blend Long Sleeve Ruffle Dress,Apple Park & Organic Farm Buddies,TP1765,28.8,18.72
bamboo-blend-long-sleeve-ruffle-dress-squirrel-scurry,Bamboo Blend Long Sleeve Ruffle Dress,Apple Park & Organic Farm Buddies,TP1817,28.8,18.72
bamboo-blend-long-sleeve-twirly-tee-dress-wild-at-heart,Bamboo Blend Long Sleeve Twirly Tee Dress,Apple Park & Organic Farm Buddies,TP1897,48.0,31.2
bamboo-blend-long-sleeve-twirly-tee-dress-woodland-dreams,Bamboo Blend Long Sleeve Twirly Tee Dress,Apple Park & Organic Farm Buddies,TP1852,48.0,31.2
bamboo-blend-pajamas-breezy-bay-stripe,Bamboo Blend Pajamas,Apple Park & Organic Farm Buddies,TP2162,42.0,27.3
bamboo-blend-pajamas-farmyard-cruisers,Bamboo Blend Pajamas,Apple Park & Organic Farm Buddies,TP2100,42.0,27.3
bamboo-blend-pajamas-seaside-treasures,Bamboo Blend Pajamas,Apple Park & Organic Farm Buddies,TP2127,42.0,27.3
bamboo-blend-pajamas-blooming-saguaro,Bamboo Blend Pajamas,Apple Park & Organic Farm Buddies,TP2226,42.0,27.3
bamboo-blend-pajamas-chill-quill,Bamboo Blend Pajamas,Apple Park & Organic Farm Buddies,TP1795,42.0,27.3
bamboo-blend-pajamas-woodland-dreams,Bamboo Blend Pajamas,Apple Park & Organic Farm Buddies,TP1875,42.0,27.3
bamboo-blend-pajamas-wild-at-heart,Bamboo Blend Pajamas,Apple Park & Organic Farm Buddies,TP1920,42.0,27.3
bamboo-blend-pajamas-squirrel-scurry,Bamboo Blend Pajamas,Apple Park & Organic Farm Buddies,TP1835,42.0,27.3
bamboo-blend-pajamas-and-little-bear-plush-blooming-saguaro,Bamboo Blend Pajamas and Little Bear Plush - Blooming Saguaro,Apple Park & Organic Farm Buddies,TP1960 & TP2226,70.0,45.5
bamboo-blend-ruffle-zip-footie-wild-at-heart,Bamboo Blend Ruffle Zip Footie,Apple Park & Organic Farm Buddies,TP1903,42.0,27.3
